order,phase,filename,local_path,source_url,status
13,04 empirical research and trading signals,Opening-range research paper.pdf,04_empirical_research_trading_signals/Opening-range research paper.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Opening-range%20research%20paper.pdf,copied
14,04 empirical research and trading signals,Correlation between overnight returns and overnight news.pdf,04_empirical_research_trading_signals/Correlation between overnight returns and overnight news.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Correlation%20between%20overnight%20returns%20and%20overnight%20news.pdf,copied
15,04 empirical research and trading signals,What happened to quants in august 07.pdf,04_empirical_research_trading_signals/What happened to quants in august 07.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/What%20happened%20to%20quants%20in%20august%2007.pdf,copied
16,05 derivatives and volatility,black_scholes73.pdf,05_derivatives_volatility/black_scholes73.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/black_scholes73.pdf,copied
17,05 derivatives and volatility,Forecasting_currency_options.pdf,05_derivatives_volatility/Forecasting_currency_options.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Forecasting_currency_options.pdf,copied
18,05 derivatives and volatility,Options-driven volatility forecasting.pdf,05_derivatives_volatility/Options-driven volatility forecasting.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Options-driven%20volatility%20forecasting.pdf,copied
19,05 derivatives and volatility,stochastic_volatility_models.pdf,05_derivatives_volatility/stochastic_volatility_models.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/stochastic_volatility_models.pdf,copied
20,06 risk management,risk-factor-aggregation-and-stress-testing-2woi5ioh1j.pdf,06_risk_management/risk-factor-aggregation-and-stress-testing-2woi5ioh1j.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/risk-factor-aggregation-and-stress-testing-2woi5ioh1j.pdf,copied
21,07 machine learning in finance,price prediction using lstm and portfolio allocation.pdf,07_machine_learning_finance/price prediction using lstm and portfolio allocation.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/price%20prediction%20using%20lstm%20and%20portfolio%20allocation.pdf,copied
22,07 machine learning in finance,approximation and regression using DNNs in finance.pdf,07_machine_learning_finance/approximation and regression using DNNs in finance.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/approximation%20and%20regression%20using%20DNNs%20in%20finance.pdf,copied
23,08 advanced theory,dynamic asset pricing using alpha MEU model.pdf,08_advanced_theory/dynamic asset pricing using alpha MEU model.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/dynamic%20asset%20pricing%20using%20alpha%20MEU%20model.pdf,copied
